7.8	84.8253
7.9	83.879
8	63.8049
8.1	-24.8886
8.2	-47.1083
8.3	-46.4356
8.4	-44.5331
8.5	-35.633
8.6	-26.1562
8.7	-15.1219
8.8	-3.97963
8.9	4.58872
9	14.3086
9.1	21.6993
9.2	23.6426
9.3	26.9656
9.4	12.302
9.5	-58.7718
9.6	-112.841
9.7	-124.842
9.8	-125.318
9.9	-127.791
10	-126.54
10.1	-126.974
10.2	-127.428
10.3	-156.857
10.4	69.3421
10.5	72.0877
10.6	81.9959
10.7	98.0737
10.8	137.263
10.9	-177.649
11	-154.891
11.1	-139.598
11.2	-134.056
11.3	-125.159
11.4	-115.41
11.5	-103.94
11.6	-89.9034
11.7	-73.4748
11.8	-55.6417
11.9	-40.6522
12	-20.9552
12.1	-25.0199
12.2	-8.46094
12.3	-125.613
12.4	-178.309
12.5	-171.559
12.6	-164.891
12.7	-162.108
12.8	-153.167
12.9	-142.66
13	-124.654
13.1	-92.346
13.2	-57.5505
13.3	-40.3726
13.4	-27.7842
13.5	-16.456
13.6	-10.6206
13.7	-5.26926
13.8	-0.80535
13.9	4.18595
14	4.03529
14.1	10.7262
14.2	4.44869
14.3	2.75106
14.4	-9.3802
14.5	-11.4067
14.6	-13.1118
14.7	-13.4697
14.8	-13.2217
14.9	-11.8015
15	-9.96647
15.1	-6.73022
15.2	-2.15094
15.3	8.24239
15.4	20.0021
15.5	31.0342
15.6	36.9197
15.7	39.4419
15.8	40.7261
15.9	24.4359
16	2.32835
16.1	-18.636
16.2	-43.6841
16.3	-54.3651
16.4	-64.843
16.5	-67.6961
16.6	-68.1351
16.7	-68.0267
16.8	-57.8975
16.9	-53.1921
17	-39.6674
17.1	-27.1157
17.2	-14.9166
17.3	-2.87763
17.4	-18.026
17.5	-60.2715
17.6	-111.046
17.7	-124.878
17.8	-126.269
17.9	-126.585
18	-123.355
18.1	-121.278
18.2	-130.066
18.3	-143.636
18.4	-161.228
18.5	170.366
18.6	161.31
18.7	153.587
18.8	154.652
18.9	156.217
19	160.659
19.1	167.468
19.2	152.217
19.3	154.815
19.4	153.814
19.5	157.902
19.6	158.467
19.7	153.384
19.8	-171.157
19.9	-164.92
20	-165.364
20.1	-148.336
20.2	172.611
20.3	108.513
