-21.6	-71.9542
-21.5	-65.2478
-21.4	-60.4742
-21.3	-57.1677
-21.2	-55.3676
-21.1	-53.3358
-21	-48.5447
-20.9	-49.223
-20.8	-49.6297
-20.7	-49.5627
-20.6	-50.1021
-20.5	-49.9552
-20.4	-52.1062
-20.3	-51.8793
-20.2	-52.1856
-20.1	-52.2771
-20	-52.6942
-19.9	-52.3363
-19.8	-52.0142
-19.7	-52.7928
-19.6	-53.4148
-19.5	-53.5657
-19.4	-54.1792
-19.3	-53.3372
-19.2	-53.0588
-19.1	-51.925
-19	-51.3698
-18.9	-51.0597
-18.8	-51.3558
-18.7	-50.7802
-18.6	-49.1034
-18.5	-48.2692
-18.4	-46.5094
-18.3	-44.9992
-18.2	-43.6528
-18.1	-42.792
-18	-42.4816
-17.9	-42.2054
-17.8	-42.227
-17.7	-42.4681
-17.6	-42.9946
-17.5	-43.4525
-17.4	-43.6102
-17.3	-43.9712
-17.2	-44.2938
-17.1	-44.5886
-17	-44.3988
-16.9	-44.8323
-16.8	-44.87
-16.7	-44.9224
-16.6	-44.7612
-16.5	-44.9393
-16.4	-45.5283
-16.3	-45.0687
-16.2	-44.7529
-16.1	-43.646
-16	-42.9141
-15.9	-42.452
-15.8	-42.5462
-15.7	-42.5201
-15.6	-43.1325
-15.5	-43.9811
-15.4	-45.2216
-15.3	-46.4504
-15.2	-46.8702
-15.1	-46.3551
-15	-45.6969
-14.9	-44.9157
-14.8	-44.7337
-14.7	-44.9337
-14.6	-45.0928
-14.5	-45.4143
-14.4	-45.2925
-14.3	-45.4988
-14.2	-45.2294
-14.1	-44.0607
-14	-43.2145
-13.9	-42.5604
-13.8	-42.0071
-13.7	-41.4588
-13.6	-41.1631
-13.5	-41.388
-13.4	-41.7481
-13.3	-42.4261
-13.2	-42.9864
-13.1	-44.1778
-13	-44.5416
-12.9	-44.8775
-12.8	-44.3427
-12.7	-44.5029
-12.6	-45.1298
-12.5	-45.0175
-12.4	-45.5785
-12.3	-45.6508
-12.2	-45.4219
-12.1	-44.5295
-12	-43.1908
