  0.0000000e+000  0.0000000e+000  0.0000000e+000
  2.0000000e+000 -9.9999998e-003 -9.9999998e-003
  4.0000000e+000 -5.0000001e-002 -5.0000001e-002
  6.0000000e+000 -1.1000000e-001 -1.1000000e-001
  8.0000000e+000 -1.9000000e-001 -1.9000000e-001
  1.0000000e+001 -3.0000000e-001 -3.0000000e-001
  1.2000000e+001 -4.3000000e-001 -4.3000000e-001
  1.4000000e+001 -5.9000000e-001 -5.9000000e-001
  1.6000000e+001 -7.6000000e-001 -7.6000000e-001
  1.8000000e+001 -9.6000000e-001 -9.6000000e-001
  2.0000000e+001 -1.1900000e+000 -1.1900000e+000
  2.2000000e+001 -1.4300000e+000 -1.4300000e+000
  2.4000000e+001 -1.6900000e+000 -1.6900000e+000
  2.6000000e+001 -1.9700000e+000 -1.9700000e+000
  2.8000000e+001 -2.2800000e+000 -2.2800000e+000
  3.0000000e+001 -2.6000000e+000 -2.6000000e+000
  3.2000000e+001 -2.9300000e+000 -2.9300000e+000
  3.4000000e+001 -3.3300000e+000 -3.3300000e+000
  3.6000000e+001 -3.6900000e+000 -3.6900000e+000
  3.8000000e+001 -4.0700000e+000 -4.0700000e+000
  4.0000000e+001 -4.4700000e+000 -4.4700000e+000
  4.2000000e+001 -4.8800000e+000 -4.8800000e+000
  4.4000000e+001 -5.3100000e+000 -5.3100000e+000
  4.6000000e+001 -5.7400000e+000 -5.7400000e+000
  4.8000000e+001 -6.1900000e+000 -6.1900000e+000
  5.0000000e+001 -6.6400000e+000 -6.6400000e+000
  5.2000000e+001 -7.1000000e+000 -7.1000000e+000
  5.4000000e+001 -7.5700000e+000 -7.5700000e+000
  5.6000000e+001 -8.0300000e+000 -8.0300000e+000
  5.8000000e+001 -8.5100000e+000 -8.5100000e+000
  6.0000000e+001 -8.9800000e+000 -8.9800000e+000
  6.2000000e+001 -9.4500000e+000 -9.4500000e+000
  6.4000000e+001 -9.9300000e+000 -9.9300000e+000
  6.6000000e+001 -1.0400000e+001 -1.0400000e+001
  6.8000000e+001 -1.0860000e+001 -1.0860000e+001
  7.0000000e+001 -1.1320000e+001 -1.1320000e+001
  7.2000000e+001 -1.1780000e+001 -1.1780000e+001
  7.4000000e+001 -1.2220000e+001 -1.2220000e+001
  7.6000000e+001 -1.2660000e+001 -1.2660000e+001
  7.8000000e+001 -1.3090000e+001 -1.3090000e+001
  8.0000000e+001 -1.3510000e+001 -1.3510000e+001
  8.2000000e+001 -1.3920000e+001 -1.3920000e+001
  8.4000000e+001 -1.4320000e+001 -1.4320000e+001
  8.6000000e+001 -1.4710000e+001 -1.4710000e+001
  8.8000000e+001 -1.5090000e+001 -1.5090000e+001
